Country,Men,Women,Indicator,gap
Norway,370.3,365.8,Leisure,4.5
Denmark,339.5,319.6,Leisure,19.899999999999977
Belgium,365.2,316.7,Leisure,48.5
Germany,346.3,315.8,Leisure,30.5
Greece,375.4,310.6,Leisure,64.79999999999995
Sweden,338.0,306.2,Leisure,31.80000000000001
Finland,358.7,303.6,Leisure,55.099999999999966
Netherlands,329.6,300.2,Leisure,29.400000000000034
New Zealand,306.0,295.0,Leisure,11.0
Ireland,341.0,289.7,Leisure,51.30000000000001
United Kingdom,326.5,284.7,Leisure,41.80000000000001
Spain,347.2,284.0,Leisure,63.19999999999999
Slovenia,336.9,283.2,Leisure,53.69999999999999
South Africa,334.2,281.8,Leisure,52.39999999999998
Italy,366.1,280.9,Leisure,85.20000000000005
Estonia,345.3,277.8,Leisure,67.5
Austria,308.1,274.3,Leisure,33.80000000000001
Turkey,301.0,270.4,Leisure,30.600000000000023
France,319.1,269.7,Leisure,49.400000000000034
Australia,297.0,269.0,Leisure,28.0
United States,305.2,269.0,Leisure,36.19999999999999
Japan,291.8,266.2,Leisure,25.600000000000023
Poland,311.0,262.4,Leisure,48.60000000000002
Canada,297.8,259.7,Leisure,38.10000000000002
Hungary,308.2,256.8,Leisure,51.39999999999998
Luxembourg,299.0,253.0,Leisure,46.0
Latvia,290.5,249.2,Leisure,41.30000000000001
Korea,272.4,244.0,Leisure,28.399999999999977
India,282.6,220.9,Leisure,61.70000000000002
Lithuania,282.2,215.3,Leisure,66.89999999999998
China,248.0,211.0,Leisure,37.0
Portugal,289.1,199.8,Leisure,89.30000000000001
Mexico,193.0,164.6,Leisure,28.400000000000006
